time_offset_s,rssi,rssi_mean,variance,anomaly_score,class_label
0.005,-40,-40.0,0.0,0.0,idle
0.010,-40,-40.0,0.0,0.0,idle
0.015,-40,-40.0,0.0,0.0,idle
0.018,-40,-40.0,0.0,0.0,idle
0.023,-40,-40.0,0.0,0.0,idle
0.025,-40,-40.0,0.0,0.0,idle
0.031,-40,-40.0,0.0,0.0,idle
0.035,-40,-40.0,0.0,0.0,idle
0.039,-40,-40.0,0.0,0.0,idle
0.042,-40,-40.0,0.0,0.0,idle
0.044,-40,-40.0,0.0,0.0,idle
0.050,-40,-40.0,0.0,0.0,idle
0.050,-40,-40.0,0.0,0.0,idle
0.058,-40,-40.0,0.0,0.0,idle
0.060,-40,-40.0,0.0,0.0,idle
0.065,-40,-40.0,0.0,0.0,idle
0.069,-40,-40.0,0.0,0.0,idle
0.070,-40,-40.0,0.0,0.0,idle
0.075,-40,-40.0,0.0,0.0,idle
0.075,-40,-40.0,0.0,0.0,idle
0.082,-40,-40.0,0.0,0.0,idle
0.087,-40,-40.0,0.0,0.0,idle
0.090,-40,-40.0,0.0,0.0,idle
0.093,-40,-40.0,0.0,0.0,idle
0.093,-40,-40.0,0.0,0.0,idle
0.101,-40,-40.0,0.0,0.0,idle
0.101,-40,-40.0,0.0,0.0,idle
0.109,-40,-40.0,0.0,0.0,idle
0.110,-40,-40.0,0.0,0.0,idle
0.117,-40,-40.0,0.0,0.0,idle
0.123,-40,-40.0,0.0,0.0,idle
0.192,-40,-40.0,0.0,0.0,idle
0.280,-40,-40.0,0.0,0.0,idle
0.383,-40,-40.0,0.0,0.0,idle
0.482,-40,-40.0,0.0,0.0,idle
0.583,-40,-40.0,0.0,0.0,idle
0.691,-40,-40.0,0.0,0.0,idle
0.792,-40,-40.0,0.0,0.0,idle
0.892,-40,-40.0,0.0,0.0,idle
0.981,-40,-40.0,0.0,0.0,idle
1.080,-40,-40.0,0.0,0.0,idle
1.181,-40,-40.0,0.0,0.0,idle
1.280,-40,-40.0,0.0,0.0,idle
1.382,-40,-40.0,0.0,0.0,idle
1.482,-40,-40.0,0.0,0.0,idle
1.582,-40,-40.0,0.0,0.0,idle
1.685,-40,-40.0,0.0,0.0,idle
1.785,-40,-40.0,0.0,0.0,idle
1.887,-40,-40.0,0.0,0.0,idle
1.987,-40,-40.0,0.0,0.0,idle
2.086,-40,-40.0,0.0,0.0,idle
2.186,-40,-40.0,0.0,0.0,idle
2.286,-40,-40.0,0.0,0.0,idle
2.385,-40,-40.0,0.0,0.0,idle
2.487,-40,-40.0,0.0,0.0,idle
2.589,-40,-40.0,0.0,0.0,idle
2.689,-40,-40.0,0.0,0.0,idle
2.791,-40,-40.0,0.0,0.0,idle
2.882,-40,-40.0,0.0,0.0,idle
2.983,-40,-40.0,0.0,0.0,idle
3.083,-40,-40.0,0.0,0.0,idle
3.182,-40,-40.0,0.0,0.0,idle
3.282,-40,-40.0,0.0,0.0,idle
3.383,-40,-40.0,0.0,0.0,idle
3.480,-40,-40.0,0.0,0.0,idle
3.582,-40,-40.0,0.0,0.0,idle
3.685,-40,-40.0,0.0,0.0,idle
3.782,-40,-40.0,0.0,0.0,idle
3.883,-40,-40.0,0.0,0.0,idle
3.983,-40,-40.0,0.0,0.0,idle
4.082,-40,-40.0,0.0,0.0,idle
4.182,-40,-40.0,0.0,0.0,idle
4.283,-40,-40.0,0.0,0.0,idle
4.382,-40,-40.0,0.0,0.0,idle
4.482,-40,-40.0,0.0,0.0,idle
4.585,-40,-40.0,0.0,0.0,idle
4.685,-40,-40.0,0.0,0.0,idle
4.785,-40,-40.0,0.0,0.0,idle
4.885,-40,-40.0,0.0,0.0,idle
4.986,-40,-40.0,0.0,0.0,idle
5.084,-40,-40.0,0.0,0.0,idle
5.182,-40,-40.0,0.0,0.0,idle
5.285,-40,-40.0,0.0,0.0,idle
5.389,-40,-40.0,0.0,0.0,idle
5.489,-40,-40.0,0.0,0.0,idle
5.589,-40,-40.0,0.0,0.0,idle
5.692,-40,-40.0,0.0,0.0,idle
5.782,-40,-40.0,0.0,0.0,idle
5.882,-40,-40.0,0.0,0.0,idle
5.982,-40,-40.0,0.0,0.0,idle
6.085,-40,-40.0,0.0,0.0,idle
6.182,-40,-40.0,0.0,0.0,idle
6.282,-40,-40.0,0.0,0.0,idle
6.382,-40,-40.0,0.0,0.0,idle
6.482,-40,-40.0,0.0,0.0,idle
6.584,-40,-40.0,0.0,0.0,idle
6.685,-40,-40.0,0.0,0.0,idle
6.785,-40,-40.0,0.0,0.0,idle
6.888,-40,-40.0,0.0,0.0,idle
6.989,-40,-40.0,0.0,0.0,idle
7.089,-40,-40.0,0.0,0.0,idle
7.189,-40,-40.0,0.0,0.0,idle
7.289,-40,-40.0,0.0,0.0,idle
7.390,-40,-40.0,0.0,0.0,idle
7.482,-40,-40.0,0.0,0.0,idle
7.582,-40,-40.0,0.0,0.0,idle
7.682,-40,-40.0,0.0,0.0,idle
7.782,-40,-40.0,0.0,0.0,idle
7.884,-40,-40.0,0.0,0.0,idle
7.986,-40,-40.0,0.0,0.0,idle
8.087,-40,-40.0,0.0,0.0,idle
8.185,-40,-40.0,0.0,0.0,idle
8.283,-40,-40.0,0.0,0.0,idle
8.386,-40,-40.0,0.0,0.0,idle
8.487,-40,-40.0,0.0,0.0,idle
8.585,-40,-40.0,0.0,0.0,idle
8.685,-40,-40.0,0.0,0.0,idle
8.785,-40,-40.0,0.0,0.0,idle
8.885,-40,-40.0,0.0,0.0,idle
8.982,-40,-40.0,0.0,0.0,idle
9.085,-40,-40.0,0.0,0.0,idle
9.187,-40,-40.0,0.0,0.0,idle
9.289,-40,-40.0,0.0,0.0,idle
9.389,-40,-40.0,0.0,0.0,idle
9.491,-40,-40.0,0.0,0.0,idle
9.582,-40,-40.0,0.0,0.0,idle
9.684,-40,-40.0,0.0,0.0,idle
9.784,-40,-40.0,0.0,0.0,idle
9.885,-40,-40.0,0.0,0.0,idle
9.985,-40,-40.0,0.0,0.0,idle
10.086,-40,-40.0,0.0,0.0,idle
10.186,-40,-40.0,0.0,0.0,idle
10.287,-40,-40.0,0.0,0.0,idle
10.389,-40,-40.0,0.0,0.0,idle
10.489,-41,-40.05,0.05,0.01,idle
10.589,-41,-40.1,0.0947,0.02,idle
10.689,-41,-40.15,0.1342,0.02,idle
10.792,-41,-40.2,0.1684,0.03,idle
10.884,-41,-40.25,0.1974,0.03,idle
10.988,-41,-40.3,0.2211,0.04,idle
11.089,-41,-40.35,0.2395,0.04,idle
11.189,-41,-40.4,0.2526,0.04,idle
11.291,-41,-40.45,0.2605,0.04,idle
11.391,-41,-40.5,0.2632,0.04,idle
11.482,-41,-40.55,0.2605,0.04,idle
