time_offset_s,rssi,rssi_mean,variance,anomaly_score,class_label
0.006,-41,-41.0,0.0,0.0,walking
0.008,-41,-41.0,0.0,0.0,walking
0.013,-41,-41.0,0.0,0.0,walking
0.013,-41,-41.0,0.0,0.0,walking
0.023,-41,-41.0,0.0,0.0,walking
0.023,-41,-41.0,0.0,0.0,walking
0.031,-41,-41.0,0.0,0.0,walking
0.034,-41,-41.0,0.0,0.0,walking
0.038,-41,-41.0,0.0,0.0,walking
0.039,-41,-41.0,0.0,0.0,walking
0.046,-41,-41.0,0.0,0.0,walking
0.049,-41,-41.0,0.0,0.0,walking
0.052,-40,-40.95,0.05,0.01,walking
0.056,-40,-40.9,0.0947,0.02,walking
0.058,-40,-40.85,0.1342,0.02,walking
0.064,-40,-40.8,0.1684,0.03,walking
0.065,-40,-40.75,0.1974,0.03,walking
0.072,-40,-40.7,0.2211,0.04,walking
0.074,-40,-40.65,0.2395,0.04,walking
0.081,-40,-40.6,0.2526,0.04,walking
0.084,-40,-40.55,0.2605,0.04,walking
0.089,-40,-40.5,0.2632,0.04,walking
0.091,-40,-40.45,0.2605,0.04,walking
0.095,-40,-40.4,0.2526,0.04,walking
0.100,-40,-40.35,0.2395,0.04,walking
0.104,-40,-40.3,0.2211,0.04,walking
0.108,-40,-40.25,0.1974,0.03,walking
0.113,-40,-40.2,0.1684,0.03,walking
0.114,-40,-40.15,0.1342,0.02,walking
0.114,-40,-40.1,0.0947,0.02,walking
0.123,-40,-40.05,0.05,0.01,walking
0.148,-40,-40.0,0.0,0.0,walking
0.248,-41,-40.05,0.05,0.01,walking
0.350,-41,-40.1,0.0947,0.02,walking
0.451,-41,-40.15,0.1342,0.02,walking
0.552,-41,-40.2,0.1684,0.03,walking
0.655,-41,-40.25,0.1974,0.03,walking
0.755,-41,-40.3,0.2211,0.04,walking
0.846,-41,-40.35,0.2395,0.04,walking
0.946,-41,-40.4,0.2526,0.04,walking
1.046,-41,-40.45,0.2605,0.04,walking
1.146,-41,-40.5,0.2632,0.04,walking
1.245,-41,-40.55,0.2605,0.04,walking
1.346,-41,-40.6,0.2526,0.04,walking
1.446,-41,-40.65,0.2395,0.04,walking
1.551,-41,-40.7,0.2211,0.04,walking
1.652,-41,-40.75,0.1974,0.03,walking
1.752,-41,-40.8,0.1684,0.03,walking
1.852,-41,-40.85,0.1342,0.02,walking
1.954,-41,-40.9,0.0947,0.02,walking
2.057,-41,-40.95,0.05,0.01,walking
2.152,-41,-41.0,0.0,0.0,walking
2.252,-41,-41.0,0.0,0.0,walking
2.352,-41,-41.0,0.0,0.0,walking
2.452,-41,-41.0,0.0,0.0,walking
2.555,-41,-41.0,0.0,0.0,walking
2.652,-41,-41.0,0.0,0.0,walking
2.752,-41,-41.0,0.0,0.0,walking
2.852,-41,-41.0,0.0,0.0,walking
2.954,-41,-41.0,0.0,0.0,walking
3.052,-41,-41.0,0.0,0.0,walking
3.155,-41,-41.0,0.0,0.0,walking
3.246,-41,-41.0,0.0,0.0,walking
3.346,-41,-41.0,0.0,0.0,walking
3.448,-41,-41.0,0.0,0.0,walking
3.548,-41,-41.0,0.0,0.0,walking
3.646,-40,-40.95,0.05,0.01,walking
3.747,-40,-40.9,0.0947,0.02,walking
3.848,-40,-40.85,0.1342,0.02,walking
3.947,-40,-40.8,0.1684,0.03,walking
4.051,-40,-40.75,0.1974,0.03,walking
4.151,-40,-40.7,0.2211,0.04,walking
4.252,-40,-40.65,0.2395,0.04,walking
