time_offset_s,rssi,rssi_mean,variance,anomaly_score,class_label
0.004,-41,-40.65,0.3447,0.06,waving
0.008,-40,-40.55,0.2605,0.04,waving
0.014,-40,-40.5,0.2632,0.04,waving
0.019,-40,-40.45,0.2605,0.04,waving
0.023,-39,-40.35,0.3447,0.06,waving
0.026,-39,-40.3,0.4316,0.07,waving
0.028,-39,-40.25,0.5132,0.08,waving
0.036,-39,-40.2,0.5895,0.1,waving
0.041,-39,-40.15,0.6605,0.11,waving
0.044,-39,-40.1,0.7263,0.12,waving
0.047,-39,-40.05,0.7868,0.13,waving
0.051,-39,-40.0,0.8421,0.14,waving
0.055,-39,-39.95,0.8921,0.15,waving
0.059,-39,-39.85,0.8711,0.14,waving
0.063,-39,-39.75,0.8289,0.13,waving
0.065,-39,-39.65,0.7658,0.12,waving
0.072,-39,-39.55,0.6816,0.11,waving
0.075,-39,-39.45,0.5763,0.09,waving
0.078,-39,-39.35,0.45,0.07,waving
0.078,-39,-39.25,0.3026,0.05,waving
0.087,-39,-39.15,0.1342,0.02,waving
0.091,-39,-39.1,0.0947,0.02,waving
0.095,-39,-39.05,0.05,0.01,waving
0.097,-39,-39.0,0.0,0.0,waving
0.101,-39,-39.0,0.0,0.0,waving
0.105,-39,-39.0,0.0,0.0,waving
0.109,-39,-39.0,0.0,0.0,waving
0.113,-39,-39.0,0.0,0.0,waving
0.115,-39,-39.0,0.0,0.0,waving
0.121,-39,-39.0,0.0,0.0,waving
0.124,-40,-39.05,0.05,0.01,waving
0.158,-41,-39.15,0.2395,0.04,waving
0.263,-41,-39.25,0.4079,0.07,waving
0.365,-41,-39.35,0.5553,0.09,waving
0.465,-41,-39.45,0.6816,0.11,waving
0.565,-42,-39.6,0.9895,0.16,waving
0.665,-43,-39.8,1.5368,0.25,waving
0.759,-42,-39.95,1.7342,0.28,waving
0.861,-41,-40.05,1.7342,0.28,waving
0.963,-41,-40.15,1.7132,0.28,waving
1.064,-41,-40.25,1.6711,0.27,waving
1.165,-41,-40.35,1.6079,0.26,waving
1.265,-41,-40.45,1.5237,0.25,waving
1.357,-42,-40.6,1.5158,0.25,waving
1.456,-43,-40.8,1.6421,0.27,waving
1.558,-42,-40.95,1.5237,0.25,waving
1.658,-41,-41.05,1.3132,0.21,waving
1.761,-41,-41.15,1.0816,0.18,waving
1.865,-41,-41.25,0.8289,0.13,waving
1.965,-41,-41.35,0.5553,0.09,waving
2.058,-41,-41.4,0.4632,0.08,waving
2.158,-41,-41.4,0.4632,0.08,waving
2.262,-41,-41.4,0.4632,0.08,waving
2.364,-41,-41.4,0.4632,0.08,waving
2.465,-41,-41.4,0.4632,0.08,waving
2.565,-41,-41.35,0.45,0.07,waving
2.655,-41,-41.25,0.3026,0.05,waving
2.756,-41,-41.2,0.2737,0.04,waving
2.856,-41,-41.2,0.2737,0.04,waving
2.958,-41,-41.2,0.2737,0.04,waving
3.055,-42,-41.25,0.3026,0.05,waving
3.161,-42,-41.3,0.3263,0.05,waving
3.265,-42,-41.35,0.3447,0.06,waving
3.365,-42,-41.35,0.3447,0.06,waving
3.456,-41,-41.25,0.1974,0.03,waving
3.555,-41,-41.2,0.1684,0.03,waving
3.655,-41,-41.2,0.1684,0.03,waving
3.757,-41,-41.2,0.1684,0.03,waving
3.859,-41,-41.2,0.1684,0.03,waving
3.959,-41,-41.2,0.1684,0.03,waving
4.058,-41,-41.2,0.1684,0.03,waving
4.159,-42,-41.25,0.1974,0.03,waving
4.261,-43,-41.35,0.3447,0.06,waving
4.365,-42,-41.4,0.3579,0.06,waving
4.464,-42,-41.45,0.3658,0.06,waving
4.565,-42,-41.5,0.3684,0.06,waving
4.655,-42,-41.55,0.3658,0.06,waving
4.755,-41,-41.55,0.3658,0.06,waving
4.855,-40,-41.5,0.4737,0.08,waving
4.955,-40,-41.45,0.5763,0.09,waving
5.065,-40,-41.35,0.6605,0.11,waving
5.165,-40,-41.25,0.7237,0.12,waving
5.253,-39,-41.1,0.9368,0.15,waving
5.365,-39,-40.95,1.1026,0.18,waving
5.465,-39,-40.85,1.2921,0.21,waving
5.558,-41,-40.85,1.2921,0.21,waving
5.658,-43,-40.95,1.5237,0.25,waving
5.762,-43,-41.05,1.7342,0.28,waving
5.865,-42,-41.1,1.7789,0.29,waving
5.965,-41,-41.1,1.7789,0.29,waving
6.064,-40,-41.05,1.8395,0.3,waving
6.165,-40,-40.95,1.8395,0.3,waving
6.265,-40,-40.8,1.6421,0.27,waving
6.365,-40,-40.7,1.5895,0.26,waving
6.455,-40,-40.6,1.5158,0.25,waving
6.565,-40,-40.5,1.4211,0.23,waving
6.665,-40,-40.4,1.3053,0.21,waving
6.765,-40,-40.35,1.2921,0.21,waving
6.867,-40,-40.35,1.2921,0.21,waving
6.955,-40,-40.35,1.2921,0.21,waving
7.065,-40,-40.35,1.2921,0.21,waving
7.165,-40,-40.35,1.2921,0.21,waving
7.265,-40,-40.4,1.2,0.2,waving
7.357,-40,-40.45,1.1026,0.18,waving
7.459,-40,-40.5,1.0,0.16,waving
7.558,-40,-40.45,0.9974,0.16,waving
7.656,-40,-40.3,0.6421,0.1,waving
7.756,-40,-40.15,0.2395,0.04,waving
7.856,-40,-40.05,0.05,0.01,waving
7.955,-40,-40.0,0.0,0.0,waving
8.055,-40,-40.0,0.0,0.0,waving
8.155,-40,-40.0,0.0,0.0,waving
8.255,-40,-40.0,0.0,0.0,waving
8.356,-40,-40.0,0.0,0.0,waving
8.455,-40,-40.0,0.0,0.0,waving
8.555,-40,-40.0,0.0,0.0,waving
8.654,-40,-40.0,0.0,0.0,waving
8.755,-40,-40.0,0.0,0.0,waving
8.857,-40,-40.0,0.0,0.0,waving
8.955,-40,-40.0,0.0,0.0,waving
9.055,-40,-40.0,0.0,0.0,waving
9.154,-40,-40.0,0.0,0.0,waving
9.258,-40,-40.0,0.0,0.0,waving
9.358,-40,-40.0,0.0,0.0,waving
9.461,-40,-40.0,0.0,0.0,waving
9.561,-40,-40.0,0.0,0.0,waving
9.659,-40,-40.0,0.0,0.0,waving
9.761,-40,-40.0,0.0,0.0,waving
9.897,-40,-40.0,0.0,0.0,waving
9.978,-40,-40.0,0.0,0.0,waving
10.057,-40,-40.0,0.0,0.0,waving
10.178,-40,-40.0,0.0,0.0,waving
10.256,-40,-40.0,0.0,0.0,waving
10.355,-40,-40.0,0.0,0.0,waving
10.455,-40,-40.0,0.0,0.0,waving
10.565,-40,-40.0,0.0,0.0,waving
10.664,-40,-40.0,0.0,0.0,waving
10.765,-40,-40.0,0.0,0.0,waving
10.865,-40,-40.0,0.0,0.0,waving
10.965,-40,-40.0,0.0,0.0,waving
11.066,-40,-40.0,0.0,0.0,waving
11.155,-40,-40.0,0.0,0.0,waving
11.259,-40,-40.0,0.0,0.0,waving
11.361,-40,-40.0,0.0,0.0,waving
11.461,-39,-39.95,0.05,0.01,waving
11.564,-39,-39.9,0.0947,0.02,waving
11.665,-39,-39.85,0.1342,0.02,waving
11.765,-39,-39.8,0.1684,0.03,waving
11.854,-39,-39.75,0.1974,0.03,waving
11.958,-39,-39.7,0.2211,0.04,waving
12.060,-39,-39.65,0.2395,0.04,waving
12.161,-39,-39.6,0.2526,0.04,waving
12.261,-39,-39.55,0.2605,0.04,waving
12.362,-39,-39.5,0.2632,0.04,waving
12.463,-39,-39.45,0.2605,0.04,waving
12.565,-39,-39.4,0.2526,0.04,waving
12.665,-39,-39.35,0.2395,0.04,waving
12.765,-39,-39.3,0.2211,0.04,waving
12.865,-39,-39.25,0.1974,0.03,waving
12.956,-39,-39.2,0.1684,0.03,waving
13.054,-39,-39.15,0.1342,0.02,waving
13.161,-39,-39.1,0.0947,0.02,waving
13.261,-39,-39.05,0.05,0.01,waving
13.363,-39,-39.0,0.0,0.0,waving
13.465,-39,-39.0,0.0,0.0,waving
13.565,-39,-39.0,0.0,0.0,waving
13.665,-39,-39.0,0.0,0.0,waving
13.770,-39,-39.0,0.0,0.0,waving
13.855,-39,-39.0,0.0,0.0,waving
13.959,-39,-39.0,0.0,0.0,waving
14.060,-39,-39.0,0.0,0.0,waving
14.156,-39,-39.0,0.0,0.0,waving
14.263,-39,-39.0,0.0,0.0,waving
14.365,-39,-39.0,0.0,0.0,waving
14.465,-39,-39.0,0.0,0.0,waving
14.563,-39,-39.0,0.0,0.0,waving
14.659,-39,-39.0,0.0,0.0,waving
14.759,-39,-39.0,0.0,0.0,waving
14.859,-39,-39.0,0.0,0.0,waving
14.954,-39,-39.0,0.0,0.0,waving
15.066,-39,-39.0,0.0,0.0,waving
15.165,-39,-39.0,0.0,0.0,waving
15.265,-39,-39.0,0.0,0.0,waving
15.357,-39,-39.0,0.0,0.0,waving
15.458,-39,-39.0,0.0,0.0,waving
15.576,-39,-39.0,0.0,0.0,waving
15.642,-39,-39.0,0.0,0.0,waving
15.762,-39,-39.0,0.0,0.0,waving
15.865,-39,-39.0,0.0,0.0,waving
15.965,-39,-39.0,0.0,0.0,waving
16.065,-39,-39.0,0.0,0.0,waving
16.165,-39,-39.0,0.0,0.0,waving
16.257,-39,-39.0,0.0,0.0,waving
16.360,-39,-39.0,0.0,0.0,waving
16.462,-39,-39.0,0.0,0.0,waving
16.565,-39,-39.0,0.0,0.0,waving
16.665,-39,-39.0,0.0,0.0,waving
16.768,-39,-39.0,0.0,0.0,waving
16.857,-39,-39.0,0.0,0.0,waving
16.955,-39,-39.0,0.0,0.0,waving
17.068,-39,-39.0,0.0,0.0,waving
17.159,-39,-39.0,0.0,0.0,waving
17.261,-39,-39.0,0.0,0.0,waving
17.361,-39,-39.0,0.0,0.0,waving
17.462,-39,-39.0,0.0,0.0,waving
17.564,-39,-39.0,0.0,0.0,waving
17.663,-39,-39.0,0.0,0.0,waving
17.765,-39,-39.0,0.0,0.0,waving
17.865,-39,-39.0,0.0,0.0,waving
17.955,-39,-39.0,0.0,0.0,waving
18.055,-39,-39.0,0.0,0.0,waving
18.156,-39,-39.0,0.0,0.0,waving
18.254,-39,-39.0,0.0,0.0,waving
18.358,-40,-39.05,0.05,0.01,waving
18.459,-40,-39.1,0.0947,0.02,waving
18.560,-40,-39.15,0.1342,0.02,waving
18.659,-40,-39.2,0.1684,0.03,waving
18.764,-40,-39.25,0.1974,0.03,waving
18.865,-40,-39.3,0.2211,0.04,waving
18.965,-40,-39.35,0.2395,0.04,waving
19.065,-40,-39.4,0.2526,0.04,waving
19.165,-40,-39.45,0.2605,0.04,waving
19.253,-40,-39.5,0.2632,0.04,waving
19.355,-40,-39.55,0.2605,0.04,waving
19.458,-40,-39.6,0.2526,0.04,waving
19.561,-40,-39.65,0.2395,0.04,waving
19.662,-40,-39.7,0.2211,0.04,waving
19.763,-40,-39.75,0.1974,0.03,waving
19.864,-40,-39.8,0.1684,0.03,waving
19.965,-40,-39.85,0.1342,0.02,waving
20.065,-40,-39.9,0.0947,0.02,waving
20.158,-41,-40.0,0.1053,0.02,waving
20.259,-42,-40.15,0.2395,0.04,waving
20.362,-42,-40.25,0.4079,0.07,waving
20.465,-42,-40.35,0.5553,0.09,waving
20.565,-41,-40.4,0.5684,0.09,waving
20.665,-41,-40.45,0.5763,0.09,waving
20.765,-41,-40.5,0.5789,0.09,waving
20.857,-41,-40.55,0.5763,0.09,waving
20.953,-41,-40.6,0.5684,0.09,waving
21.058,-41,-40.65,0.5553,0.09,waving
21.155,-41,-40.7,0.5368,0.09,waving
21.259,-42,-40.8,0.5895,0.1,waving
21.359,-43,-40.95,0.7868,0.13,waving
21.459,-43,-41.1,0.9368,0.15,waving
21.558,-42,-41.2,0.9053,0.15,waving
21.658,-42,-41.3,0.8526,0.14,waving
21.761,-42,-41.4,0.7789,0.13,waving
21.862,-41,-41.45,0.6816,0.11,waving
21.963,-41,-41.5,0.5789,0.09,waving
22.062,-40,-41.5,0.5789,0.09,waving
22.165,-40,-41.45,0.6816,0.11,waving
22.264,-40,-41.35,0.7658,0.12,waving
22.365,-40,-41.25,0.8289,0.13,waving
22.455,-41,-41.2,0.8,0.13,waving
22.558,-42,-41.25,0.8289,0.13,waving
22.658,-44,-41.4,1.2,0.2,waving
22.758,-45,-41.6,1.8316,0.3,waving
22.861,-45,-41.8,2.3789,0.39,waving
22.964,-45,-42.0,2.8421,0.46,waving
23.065,-45,-42.2,3.2211,0.52,waving
23.165,-45,-42.4,3.5158,0.57,waving
23.255,-44,-42.5,3.6316,0.59,waving
23.358,-43,-42.5,3.6316,0.59,waving
23.458,-42,-42.45,3.6289,0.59,waving
23.555,-41,-42.4,3.7263,0.61,waving
23.658,-41,-42.35,3.8184,0.62,waving
23.761,-40,-42.25,4.0921,0.67,waving
23.865,-40,-42.2,4.2737,0.69,waving
23.956,-41,-42.2,4.2737,0.69,waving
24.055,-44,-42.4,4.1474,0.67,waving
24.165,-45,-42.65,4.1342,0.67,waving
24.268,-44,-42.85,3.8184,0.62,waving
24.360,-43,-43.0,3.3684,0.55,waving
24.461,-42,-43.05,3.2079,0.52,waving
24.563,-41,-43.0,3.3684,0.55,waving
24.665,-41,-42.85,3.5026,0.57,waving
24.765,-41,-42.65,3.3974,0.55,waving
24.855,-43,-42.55,3.1026,0.5,waving
24.957,-46,-42.6,3.4105,0.55,waving
25.058,-47,-42.7,4.1158,0.67,waving
25.158,-46,-42.75,4.4079,0.72,waving
25.261,-44,-42.75,4.4079,0.72,waving
25.363,-43,-42.75,4.4079,0.72,waving
25.464,-42,-42.75,4.4079,0.72,waving
25.565,-41,-42.75,4.4079,0.72,waving
25.655,-41,-42.75,4.4079,0.72,waving
25.765,-41,-42.8,4.1684,0.68,waving
25.857,-43,-42.95,3.7342,0.61,waving
25.959,-46,-43.2,3.9579,0.64,waving
26.062,-46,-43.3,4.3263,0.7,waving
26.164,-44,-43.25,4.1974,0.68,waving
26.265,-44,-43.25,4.1974,0.68,waving
26.365,-44,-43.3,4.2211,0.69,waving
26.459,-43,-43.35,4.1342,0.67,waving
26.558,-42,-43.4,3.9368,0.64,waving
26.656,-41,-43.4,3.9368,0.64,waving
26.755,-41,-43.4,3.9368,0.64,waving
26.859,-42,-43.35,4.0289,0.66,waving
26.961,-44,-43.25,3.6711,0.6,waving
27.063,-43,-43.05,2.8921,0.47,waving
27.166,-42,-42.85,2.45,0.4,waving
27.255,-41,-42.7,2.5368,0.41,waving
27.359,-40,-42.55,2.8921,0.47,waving
27.458,-40,-42.45,3.2079,0.52,waving
27.562,-40,-42.4,3.4105,0.55,waving
27.663,-40,-42.35,3.6079,0.59,waving
27.765,-40,-42.3,3.8,0.62,waving
27.865,-40,-42.15,4.0289,0.66,waving
27.958,-40,-41.85,3.3974,0.55,waving
28.059,-42,-41.65,2.45,0.4,waving
28.159,-46,-41.75,3.1447,0.51,waving
28.263,-47,-41.9,4.3053,0.7,waving
28.365,-46,-42.0,4.9474,0.8,waving
28.459,-45,-42.1,5.3579,0.87,waving
28.558,-44,-42.2,5.5368,0.9,waving
28.662,-43,-42.3,5.4842,0.89,waving
28.765,-44,-42.45,5.5237,0.9,waving
28.855,-44,-42.55,5.6289,0.92,waving
28.958,-44,-42.55,5.6289,0.92,waving
29.058,-43,-42.55,5.6289,0.92,waving
